Quote,Detail,Episode Name
" The French philosopher Voltaire wrote, ""There are some that only employ words for the purpose of disguising their thoughts.""
","Season 1, Episode 20",Charm and Harm
" The author François de la Rochefoucauld wrote, ""We are so accustomed to disguise ourselves to others that in the end we become disguised to ourselves.""
","Season 1, Episode 20",Charm and Harm
" Albert Einstein said, ""Whoever undertakes to set himself up as judge in the field of truth and knowledge is shipwrecked by the laughter of the gods.""
","Season 1, Episode 21",Secrets and Lies
" George Orwell said, ""In a time of universal deceit, telling the truth is a revolutionary act.""
","Season 1, Episode 21",Secrets and Lies
" Writer Elbert Hubbard said, ""No man needs a vacation so much as the man who has just had one.""
","Season 1, Episode 22","The Fisher King, Part 1"
" ""The defects and faults of the mind are like wounds in the body; after all imaginable care has been taken to heal them up, still there will be a scar left behind."" - French writer François La Rochefoucauld
","Season 2, Episode 1","The Fisher King, Part 2"
" ""It has been said time heals all wounds. I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens, but it is never gone."" - Rose Kennedy
","Season 2, Episode 1","The Fisher King, Part 2"
" Theologian Dietrich Bonhoeffer said, ""The test of the morality of a society is what it does for its children.""
","Season 2, Episode 2",P911
" Mark Twain wrote, ""Of all the animals, man is the only one that is cruel. He is the only one that inflicts pain for the pleasure of doing it.""
","Season 2, Episode 3",The Perfect Storm
" Philosopher Khalil Gibran wrote, ""Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.""
","Season 2, Episode 3",The Perfect Storm
" ""Man is least himself when he talks in his own person. Give him a mask and he will tell you the truth."" – Oscar Wilde
","Season 2, Episode 4",Psychodrama
" ""The basis of shame is not some personal mistake of ours, but that this humiliation is seen by everyone."" – Milan Kundera
","Season 2, Episode 4",Psychodrama
" Helen Keller once said, ""Although the world is full of suffering, it is also full of overcoming it.""
","Season 2, Episode 5",Aftermath
" Plato wrote, ""We can easily forgive a child who's afraid of the dark; the real tragedy of life is when men are afraid of the light.""
","Season 2, Episode 6",The Boogeyman
" Legendary basketball coach John Wooden said, ""It's not so important who starts the game, but who finishes it.""
","Season 2, Episode 7",North Mammon
" ""The ultimate choice for a man, in as much as he is given to transcend himself, is to create or destroy, to love or to hate."" – Erich Fromm
","Season 2, Episode 7",North Mammon
" Robespierre wrote, ""Crime butchers innocence to secure a prize, and innocence struggles with all its might against the attempts of crime.""
","Season 2, Episode 8",Empty Planet
" Elbert Hubbard once wrote, ""If men could only know each other, they would neither idolize nor hate.""
","Season 2, Episode 9",The Last Word
" Mahatma Gandhi once said, ""Remember that all through history there have been tyrants and murderers, and for a time they seemed invincible. But in the end they always fall. Always.""
","Season 2, Episode 9",The Last Word
" Dale Turner mused, ""Some of the best lessons are learned from past mistakes. The error of the past is the wisdom of the future.""
","Season 2, Episode 10",Lessons Learned
" Ralph Waldo Emerson said, ""In order to learn the important lessons in life, one must each day surmount a fear.""
","Season 2, Episode 10",Lessons Learned
" T.S. Eliot wrote, ""Between the idea and the reality, between the motion and the act, falls the shadow.""
","Season 2, Episode 11","Sex, Birth, Death"
" T.S. Eliot wrote, ""Between the desire and the spasm, between the potency and the existence, between the essence and the descent, falls the shadow. This is the way the world ends.""
","Season 2, Episode 11","Sex, Birth, Death"
" ""All secrets are deep, all secrets become dark. That's in the nature of secrets."" – Writer Cory Doctorow
","Season 2, Episode 12","Profiler, Profiled"
" Aristotle said, ""Evil brings men together.""
","Season 2, Episode 13",No Way Out
 Condemned murderer ,"Season 2, Episode 14",The Big Game
" said of his victims, the Clutter family, ""I didn't have anything against them, and they never did anything wrong to me, the way other people have all my life. Maybe they're just the ones who have to pay for it.""
","Season 2, Episode 14",The Big Game
" ""There is not a righteous man on earth who does what is right and never sins."" – Ecclesiastes 7:20
","Season 2, Episode 15",Revelations
" ""From the deepest desires often come the deadliest hate."" – Socrates
","Season 2, Episode 16",Fear and Loathing
" ""The life of the dead is placed in the memory of the living."" – Cicero
","Season 2, Episode 16",Fear and Loathing
" ""Our life is made by the death of others."" – Leonardo da Vinci
","Season 2, Episode 17",Distress
" ""If there must be trouble, let it be in my day, that my child may have peace."" – Thomas Paine
","Season 2, Episode 17",Distress
" Robert Kennedy once said, ""Tragedy is a tool for the living to gain wisdom. Not a guide by which to live.""
","Season 2, Episode 18",Jones
" ""The torture of a bad conscience is the hell of a living soul."" – John Calvin
","Season 2, Episode 19",Ashes and Dust
" Gandhi said, ""Live as if you were to die tomorrow. Learn as if you were to live forever.""
","Season 2, Episode 19",Ashes and Dust
" An old Russian proverb reminds us, ""There can be no good without evil.""
","Season 2, Episode 20",Honor Among Thieves
" ""Happy families are all alike; every unhappy family is unhappy in its own way."" – Leo Tolstoy
","Season 2, Episode 20",Honor Among Thieves
" ""One man's wilderness is another man's theme park."" – Author unknown
","Season 2, Episode 21",Open Season
" British historian James Anthony Froude once said, ""Wild animals never kill for sport. Man is the only one to whom the torture and death of his fellow creatures is amusing in itself.""
","Season 2, Episode 21",Open Season
" ""Of all the preposterous assumptions of humanity, nothing exceeds the criticisms made of the habits of the poor by the well-housed, well-warmed, and well-fed."" – Herman Melville
","Season 2, Episode 22",Legacy
" ""Nothing is permanent in this wicked world, not even our troubles."" – Charles Chaplin
","Season 2, Episode 22",Legacy
" ""I choose my friends for their good looks, my acquaintances for their good characters, my enemies for their good intellects."" – Oscar Wilde
","Season 2, Episode 23",No Way Out II: The Evilution of Frank
" George Washington said, ""Let your heart feel for the affliction and distress of everyone.""
","Season 3, Episode 2",In Name and Blood
" The Taoist philosopher Lao Tzu once wrote, ""He who controls others may be powerful, but he who has mastered himself is mightier still.""
","Season 3, Episode 3",Scared to Death
" Eleanor Roosevelt once said, ""You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You must do the thing which you think you cannot do.""
","Season 3, Episode 3",Scared to Death
